"ID","CAST","CAT"
1422,"Directores y gerentes de bares, cafeterias y similares","Directors i gerents de bars, cafeteries i similars"
1429,"Directores y gerentes de empresas de catering y otras empresas de restauracion","Directors i gerents d'empreses de servei d'apats i altres empreses de restauracio"
143,"Directores y gerentes de empresas de comercio al por mayor y al por menor","Directors i gerents d'empreses de comerç a l'engros i al detall"
1431,"Directores y gerentes de empresas de comercio al por mayor","Directors i gerents d'empreses de comerç a l'engros"
1432,"Directores y gerentes de empresas de comercio al por menor","Directors i gerents d'empreses de comerç al detall"
150,"Directores y gerentes de otras empresas de servicios no clasificados bajo otros epigrafes","Directors i gerents d'altres empreses de serveis ncaa"
1501,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas","Directors i gerents d'empreses d'activitats recreatives, culturals i esportives"
1509,"Directores y gerentes de empresas de gestion de residuos y de otras empresas de servicios no clasificados bajo otros epigrafes","Directors i gerents d'empreses de gestio de residus i altres empreses de serveis ncaa"
2,"Tecnicos y profesionales cientificos e intelectuales","Tecnics i professionals cientifics i intel·lectuals"
21,"Profesionales de la salud","Professionals de la salut"
211,"Medicos","Metges"
2111,"Medicos de familia","Metges de familia"
2112,"Otros medicos especialistas","Altres metges especialistes"
212,"Profesionales de enfermeria y parteria","Professionals d'infermeria i llevadoria"
2121,"Enfermeros no especializados","Infermers no especialitzats"
2122,"Enfermeros especializados (excepto matronos)","Infermers especialitzats (excepte obstetricoginecologics)"
2123,"Matronos","Infermers obstetricoginecologics"
2130,"Veterinarios","Veterinaris"
2140,"Farmaceuticos","Farmaceutics"
215,"Otros profesionales de la salud","Altres professionals de la salut"
2151,"Odontologos y estomatologos","Odontolegs i estomatolegs"
2152,"Fisioterapeutas","Fisioterapeutes"
2153,"Dietistas y nutricionistas","Dietistes i nutricionistes"
2154,"Logopedas","Logopedes"
2155,"opticos-optometristas","optics optometristes"
2156,"Terapeutas ocupacionales","Terapeutes ocupacionals"
2157,"Podologos","Podolegs"
2158,"Profesionales de la salud y la higiene laboral y ambiental","Professionals de la salut i la higiene laboral i ambiental"
2159,"Profesionales de la salud no clasificados bajo otros epigrafes","Altres professionals de la salut ncaa"
22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria","Professionals de l'ensenyament infantil, primari, secundari i postsecundari"
2210,"Profesores de universidades y otra enseñanza superior (excepto formacion profesional)","Professors d'universitat i ensenyament superior (excepte de formacio professional)"
2220,"Profesores de formacion profesional (materias especificas)","Professors de formacio professional (materies especifiques)"
2230,"Profesores de enseñanza secundaria (excepto materias especificas de formacion profesional)","Professors d'ensenyament secundari (excepte de materies especifiques de formacio professional)"
2240,"Profesores de enseñanza primaria","Professors d'ensenyament primari"
225,"Maestros y educadores de enseñanza infantil","Mestres i educadors d'educacio infantil"
2251,"Maestros de educacion infantil","Mestres d'educacio infantil"
2252,"Tecnicos en educacion infantil","Tecnics en educacio infantil"
23,"Otros profesionales de la enseñanza","Altres professionals de l'ensenyament"
231,"Profesores y tecnicos de educacion especial","Professors i tecnics d'educacio especial"
2311,"Profesores de educacion especial","Professors d'educacio especial"
2312,"Tecnicos educadores de educacion especial","Tecnics educadors d'educacio especial"
232,"Otros profesores y profesionales de la enseñanza","Altres professors i professionals de l'ensenyament"
2321,"Especialistas en metodos didacticos y pedagogicos","Especialistes en metodes didactics i pedagogics"
2322,"Profesores de enseñanza no reglada de idiomas","Professors d'ensenyament no reglat d'idiomes"
2323,"Profesores de enseñanza no reglada de musica y danza","Professors d'ensenyament no reglat de musica i dansa"
2324,"Profesores de enseñanza no reglada de artes","Professors d'ensenyament no reglat d'art"
2325,"Instructores en tecnologias de la informacion en enseñanza no reglada","Instructors d'ensenyament no reglat en tecnologies de la informacio"
2326,"Profesionales de la educacion ambiental","Professionals de l'educacio ambiental"
2329,"Profesores y profesionales de la enseñanza no clasificados bajo otros epigrafes","Altres professors i professionals de l'ensenyament ncaa"
"C","Otros tecnicos y profesionales cientificos e intelectuales","Altres tecnics i professionals cientifics i intel·lectuals"
24,"Profesionales de la ciencias fisicas, quimicas, matematicas y de las ingenierias","Professionals de les ciencies fisiques, quimiques, matematiques i de les enginyeries"
241,"Fisicos, quimicos, matematicos y afines","Fisics, quimics, matematics i similars"
2411,"Fisicos y astronomos","Fisics i astronoms"
2412,"Meteorologos","Meteorolegs"
2413,"Quimicos","Quimics"
2414,"Geologos y geofisicos","Geolegs i geofisics"
2415,"Matematicos y actuarios","Matematics i actuaris"
2416,"Estadisticos","Estadistics"
242,"Profesionales en ciencias naturales","Professionals en ciencies naturals"
2421,"Biologos, botanicos, zoologos y afines","Biolegs, botanics, zoolegs i similars"
2422,"Ingenieros agronomos","Enginyers agronoms"
2423,"Ingenieros de montes","Enginyers forestals"
2424,"Ingenieros tecnicos agricolas","Enginyers tecnics agricoles"
2425,"Ingenieros tecnicos forestales y del medio natural","Enginyers tecnics forestals i del medi natural"
2426,"Profesionales de la proteccion ambiental","Professionals de la proteccio ambiental"
2427,"Enologos","Enolegs"
243,"Ingenieros (excepto ingenieros agronomos, de montes, electricos, electronicos y TIC)","Enginyers (excepte agronoms, forestals, electrics, electronics i en TIC)"
2431,"Ingenieros industriales y de produccion","Enginyers industrials i de produccio"
2432,"Ingenieros en construccion y obra civil","Enginyers en construccio i obra civil"
2433,"Ingenieros mecanicos","Enginyers mecanics"
2434,"Ingenieros aeronauticos","Enginyers aeronautics"
2435,"Ingenieros quimicos","Enginyers quimics"
2436,"Ingenieros de minas, metalurgicos y afines","Enginyers de mines, metal·lurgics i similars"
2437,"Ingenieros ambientales","Enginyers ambientals"
2439,"Ingenieros no clasificados bajo otros epigrafes","Enginyers ncaa"
244,"Ingenieros electricos, electronicos y de telecomunicaciones","Enginyers electrics, electronics i de telecomunicacions"
2441,"Ingenieros en electricidad","Enginyers electrics"
2442,"Ingenieros electronicos","Enginyers electronics"
2443,"Ingenieros en telecomunicaciones","Enginyers de telecomunicacions"
245,"Arquitectos, urbanistas e ingenieros geografos","Arquitectes, urbanistes i enginyers geografs"
2451,"Arquitectos (excepto arquitectos paisajistas y urbanistas)","Arquitectes (excepte arquitectes paisatgistes i urbanistes)"
2452,"Arquitectos paisajistas","Arquitectes paisatgistes"
2453,"Urbanistas e ingenieros de trafico","Urbanistes i enginyers de transit"
2454,"Ingenieros geografos y cartografos","Enginyers geografs i cartografs"
246,"Ingenieros tecnicos (excepto agricolas, forestales, electricos, electronicos y TIC)","Enginyers tecnics (excepte agricoles, forestals, electrics, electronics i en TIC)"
2461,"Ingenieros tecnicos industriales y de produccion","Enginyers tecnics industrials i de produccio"
2462,"Ingenieros tecnicos de obras publicas","Enginyers tecnics d'obres publiques"
2463,"Ingenieros tecnicos mecanicos","Enginyers tecnics mecanics"
2464,"Ingenieros tecnicos aeronauticos","Enginyers tecnics aeronautics"
2465,"Ingenieros tecnicos quimicos","Enginyers tecnics quimics"
2466,"Ingenieros tecnicos de minas, metalurgicos y afines","Enginyers tecnics de mines, metal·lurgics i similars"
2469,"Ingenieros tecnicos no clasificados bajo otros epigrafes","Enginyers tecnics ncaa"
247,"Ingenieros tecnicos en electricidad, electronica y telecomunicaciones","Enginyers tecnics en electricitat, electronica i telecomunicacions"
2471,"Ingenieros tecnicos en electricidad","Enginyers tecnics en electricitat"
2472,"Ingenieros tecnicos en electronica","Enginyers tecnics en electronica"
2473,"Ingenieros tecnicos en telecomunicaciones","Enginyers tecnics en telecomunicacions"
248,"Arquitectos tecnicos, topografos y diseñadores","Arquitectes tecnics, topografs i dissenyadors"
2481,"Arquitectos tecnicos y tecnicos urbanistas","Arquitectes tecnics i tecnics urbanistes"
2482,"Diseñadores de productos y de prendas","Dissenyadors de productes i peces de vestir"
2483,"Ingenieros tecnicos en topografia","Enginyers tecnics en topografia"
2484,"Diseñadores graficos y multimedia","Dissenyadors grafics i multimedia"
25,"Profesionales en derecho","Professionals del dret"
251,"Jueces, magistrados, abogados y fiscales","Jutges, magistrats, advocats i fiscals"
2511,"Abogados","Advocats"
2512,"Fiscales","Fiscals"
2513,"Jueces y magistrados","Jutges i magistrats"
259,"Otros profesionales del derecho","Altres professionals del dret"
2591,"Notarios y registradores","Notaris i registradors"
2592,"Procuradores","Procuradors"
2599,"Profesionales del derecho no clasificados bajo otros epigrafes","Altres professionals del dret ncaa"
26,"Especialistas en organizacion de la Administracion Publica y de las empresas y en la comercializacion","Especialistes en organitzacio de l'Administracio publica, de les empreses i en comercialitzacio"
261,"Especialistas en finanzas","Especialistes en finances"
2611,"Especialistas en contabilidad","Especialistes en comptabilitat"
2612,"Asesores financieros y en inversiones","Assessors financers i en inversions"
2613,"Analistas financieros","Analistes financers"
262,"Especialistas en organizacion y administracion","Especialistes en organitzacio i administracio"
2621,"Analistas de gestion y organizacion","Analistes de gestio i organitzacio"
2622,"Especialistas en administracion de politica de empresas","Especialistes en administracio de politica d'empreses"
2623,"Especialistas de la Administracion Publica","Especialistes de l'Administracio publica"
2624,"Especialistas en politicas y servicios de personal y afines","Especialistes en politiques i serveis de personal i similars"
2625,"Especialistas en formacion de personal","Especialistes en formacio de personal"
2630,"Tecnicos de empresas y actividades turisticas","Tecnics d'empreses i activitats turistiques"
2640,"Profesionales de ventas tecnicas y medicas (excepto las TIC)","Professionals de les vendes tecniques i mediques (excepte TIC)"
265,"Otros profesionales de las ventas, la comercializacion, la publicidad y las relaciones publicas","Altres professionals de les vendes, la comercialitzacio, la publicitat i les relacions publiques"
2651,"Profesionales de la publicidad y la comercializacion","Professionals de la publicitat i la comercialitzacio"
2652,"Profesionales de relaciones publicas","Professionals de les relacions publiques"
2653,"Profesionales de la venta de tecnologias de la informacion y las comunicaciones","Professionals de la venda de tecnologies de la informacio i la comunicacio (TIC)"
27,"Profesionales de las tecnologias de la informacion","Professionals de les tecnologies de la informacio"
271,"Analistas y diseñadores de software y multimedia","Analistes i dissenyadors de programari i multimedia"
2711,"Analistas de sistemas","Analistes de sistemes"
2712,"Analistas y diseñadores de software","Analistes i dissenyadors de programari"
2713,"Analistas, programadores y diseñadores Web y multimedia","Analistes, programadors i dissenyadors de webs i de multimedia"
2719,"Analistas y diseñadores de software y multimedia no clasificados bajo otros epigrafes","Analistes i dissenyadors de programari i multimedia ncaa"
272,"Especialistas en bases de datos y en redes informaticas","Especialistes en bases de dades i xarxes informatiques"
2721,"Diseñadores y administradores de bases de datos","Dissenyadors i administradors de bases de dades"
2722,"Administradores de sistemas y redes","Administradors de sistemes i xarxes informatiques"
2723,"Analistas de redes informaticas","Analistes de xarxes informatiques"
2729,"Especialistas en bases de datos y en redes informaticas no clasificados bajo otros epigrafes","Especialistes en bases de dades i xarxes informatiques ncaa"
28,"Profesionales en ciencias sociales","Professionals en ciencies socials"
2810,"Economistas","Economistes"
282,"Sociologos, historiadores, psicologos y otros profesionales en ciencias sociales","Sociolegs, historiadors, psicolegs i altres professionals en ciencies socials"
2821,"Sociologos, geografos, antropologos, arqueologos y afines","Sociolegs, geografs, antropolegs, arqueolegs i similars"
2822,"Filosofos, historiadores y profesionales en ciencias politicas","Filosofs, historiadors i professionals en ciencies politiques"
2823,"Psicologos","Psicolegs"
2824,"Profesionales del trabajo y la educacion social","Professionals del treball i l'educacio social"
2825,"Agentes de igualdad de oportunidades entre mujeres y hombres","Agents d'igualtat d'oportunitats entre dones i homes"
29,"Profesionales de la cultura y el espectaculo","Professionals de la cultura i de l'espectacle"
291,"Archivistas, bibliotecarios, conservadores y afines","Arxivers, bibliotecaris, conservadors i similars"
2911,"Archivistas y conservadores de museos","Arxivers i conservadors de museus"
2912,"Bibliotecarios, documentalistas y afines","Bibliotecaris, documentalistes i similars"
292,"Escritores, periodistas y lingüistas","Escriptors, periodistes i lingüistes"
2921,"Escritores","Escriptors"
2922,"Periodistas","Periodistes"
2923,"Filologos, interpretes y traductores","Filolegs, interprets i traductors"
293,"Artistas creativos e interpretativos","Artistes creatius i interpretatius"
2931,"Artistas de artes plasticas y visuales","Artistes d'arts plastiques i visuals"
2932,"Compositores, musicos y cantantes","Compositors, musics i cantants"
2933,"Coreografos y bailarines","Coreografs i ballarins"
2934,"Directores de cine, de teatro y afines","Directors de cinema, teatre i similars"
2935,"Actores","Actors"
2936,"Locutores de radio, television y otros presentadores","Locutors de radio, televisio i altres presentadors"
2937,"Profesionales de espectaculos taurinos","Professionals d'espectacles taurins"
2939,"Artistas creativos e interpretativos no clasificados bajo otros epigrafes","Artistes creatius i interpretatius ncaa"
3,"Tecnicos; profesionales de apoyo","Tecnics i professionals de suport"
31,"Tecnicos de las ciencias y de las ingenierias","Tecnics de les ciencies i de les enginyeries"
312,"Tecnicos de las ciencias fisicas, quimicas, medioambientales y de las ingenierias","Tecnics en ciencies fisiques, quimiques, mediambientals i en enginyeries"
3122,"Tecnicos en construccion","Tecnics en construccio"
3123,"Tecnicos en electricidad","Tecnics en electricitat"
3124,"Tecnicos en electronica (excepto electromedicina)","Tecnics en electronica (excepte en electromedicina)"
3125,"Tecnicos en electronica, especialidad en electromedicina","Tecnics en electronica, especialitat en electromedicina"
3126,"Tecnicos en mecanica","Tecnics en mecanica"
3127,"Tecnicos y analistas de laboratorio en quimica industrial","Tecnics i analistes de laboratori en quimica industrial"
3128,"Tecnicos en metalurgia y minas","Tecnics en metal·lurgia i mines"
3129,"Otros tecnicos de las ciencias fisicas, quimicas, medioambientales y de las ingenierias","Tecnics en ciencies fisiques, quimiques, mediambientals i en enginyeries ncaa"
313,"Tecnicos en control de procesos","Tecnics en control de processos"
3131,"Tecnicos en instalaciones de produccion de energia","Tecnics en instal·lacions de produccio d'energia"
3132,"Tecnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares","Tecnics en instal·lacions de tractament de residus, d'aigües i altres operadors de plantes similars"
3133,"Tecnicos en control de instalaciones de procesamiento de productos quimicos","Tecnics en control d'instal·lacions de processament de productes quimics"
3134,"Tecnicos de refinerias de petroleo y gas natural","Tecnics de refineries de petroli i gas natural"
3135,"Tecnicos en control de procesos de produccion de metales","Tecnics en control de processos de produccio de metalls"
3139,"Tecnicos en control de procesos no clasificados bajo otros epigrafes","Tecnics en control de processos ncaa"
314,"Tecnicos de las ciencias naturales y profesionales auxiliares afines","Tecnics en ciencies naturals i professionals auxiliars similiars"
3141,"Tecnicos en ciencias biologicas (excepto en areas sanitarias)","Tecnics en ciencies biologiques (excepte en arees sanitaries)"
3142,"Tecnicos agropecuarios","Tecnics agropecuaris"
3143,"Tecnicos forestales y del medio natural","Tecnics forestals i del medi natural"
315,"Profesionales en navegacion maritima y aeronautica","Professionals de la navegacio maritima i aeronautica"
3151,"Jefes y oficiales de maquinas","Caps i oficials de maquines"
3152,"Capitanes y oficiales de puente","Capitans i oficials de pont"
3153,"Pilotos de aviacion y profesionales afines","Pilots d'aviacio i professionals similars"
3154,"Controladores de trafico aereo","Controladors de transit aeri"
3155,"Tecnicos en seguridad aeronautica","Tecnics en seguretat aeronautica"
3160,"Tecnicos de control de calidad de las ciencias fisicas, quimicas y de las ingenierias","Tecnics de control de qualitat en ciencies fisiques, quimiques i en enginyeries"
320,"Supervisores en ingenieria de minas, de industrias manufactureras y de la construccion","Supervisors en enginyeria de mines, d'industries manufactureres i de la construccio"
3201,"Supervisores en ingenieria de minas","Supervisors en enginyeria de mines"
3203,"Supervisores de industrias alimenticias y del tabaco","Supervisors d'industries alimentaries i del tabac"
3205,"Supervisores de industrias de transformacion de plasticos, caucho y resinas naturales","Supervisors d'industries de transformacio de plastics, cautxu i resines naturals"
3206,"Supervisores de industrias de la madera y pastero papeleras","Supervisors d'industries de la fusta i de la pasta de paper"
3207,"Supervisores de la produccion en industrias de artes graficas y en la fabricacion de productos de papel","Supervisors de la produccio en industries d'arts grafiques i en la fabricacio de productes de paper"
3209,"Supervisores de otras industrias manufactureras","Supervisors d'altres industries manufactureres"
33,"Tecnicos sanitarios y profesionales de las terapias alternativas","Tecnics sanitaris i professionals de les terapies alternatives"
331,"Tecnicos sanitarios de laboratorio, pruebas diagnosticas y protesis","Tecnics sanitaris de laboratori, proves diagnostiques i protesis"
3311,"Tecnicos en radioterapia","Tecnics en radioterapia"
3312,"Tecnicos en imagen para el diagnostico","Tecnics en imatge per a la diagnosi"
3313,"Tecnicos en anatomia patologica y citologia","Tecnics en anatomia patologica i citologia"
3314,"Tecnicos en laboratorio de diagnostico clinico","Tecnics en laboratori de diagnosi clinica"
3315,"Tecnicos en ortoprotesis","Tecnics en ortoprotesis"
3316,"Tecnicos en protesis dentales","Tecnics en protesis dentals"
3317,"Tecnicos en audioprotesis","Tecnics en audioprotesis"
332,"Otros tecnicos sanitarios","Altres tecnics sanitaris"
3321,"Tecnicos superiores en higiene bucodental","Tecnics superiors en higiene bucodental"
3322,"Tecnicos superiores en documentacion sanitaria","Tecnics superiors en documentacio sanitaria"
3323,"Tecnicos superiores en dietetica","Tecnics superiors en dietetica"
3324,"Tecnicos en optometria","Tecnics en optometria"
3325,"Ayudantes fisioterapeutas","Ajudants de fisioterapeuta"
3326,"Tecnicos en prevencion de riesgos laborales y salud ambiental","Tecnics en prevencio de riscos laborals i salut ambiental"
3327,"Ayudantes de veterinaria","Ajudants de veterinaria"
3329,"Tecnicos de la sanidad no clasificados bajo otros epigrafes","Altres tecnics sanitaris ncaa"
333,"Profesionales de las terapias alternativas","Professionals de les terapies alternatives"
3331,"Profesionales de la acupuntura, la naturopatia, la homeopatia, la medicina tradicional china y la ayurveda","Professionals de l'acupuntura, el naturisme (naturopatia), l'homeopatia, la medicina tradicional xinesa i l'ayurveda"
3339,"Otros profesionales de las terapias alternativas","Professionals de les terapies alternatives ncaa"
340,"Profesionales de apoyo en finanzas y matematicas","Professionals de suport en finances i matematiques"
3401,"Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas","Professionals de suport i intermediaris de canvi, borsa i finances"
3402,"Comerciales de prestamos y creditos","Comercials de prestecs i credits"
3403,"Tenedores de libros","Tenidors de llibres"
3404,"Profesionales de apoyo en servicios estadisticos, matematicos y afines","Professionals de suport de serveis estadistics, matematics i similars"
3405,"Tasadores","Taxadors"
35,"Representantes, agentes comerciales y afines","Representants, agents comercials i similars"
3510,"Agentes y representantes comerciales","Agents i representants comercials"
352,"Otros agentes comerciales","Altres agents comercials"
3521,"Mediadores y agentes de seguros","Mediadors i agents d'assegurances"
3522,"Agentes de compras","Agents de compres"
3523,"Consignatarios","Consignataris"
353,"Agentes inmobiliarios y otros agentes","Agents immobiliaris i altres agents"
3531,"Representantes de aduanas","Representants de duanes"
3532,"Organizadores de conferencias y eventos","Organitzadors de conferencies i esdeveniments"
3533,"Agentes o intermediarios en la contratacion de la mano de obra (excepto representantes de espectaculos)","Agents o intermediaris en la contractacio de ma d'obra (excepte representants d'espectacles)"
3534,"Agentes y administradores de la propiedad inmobiliaria","Agents i administradors de la propietat immobiliaria"
3535,"Portavoces y agentes de relaciones publicas","Portaveus i agents de relacions publiques"
3539,"Representantes artisticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epigrafes","Representants artistics i esportius i altres agents de serveis comercials ncaa"
36,"Profesionales de apoyo a la gestion administrativa; tecnicos de las fuerzas y cuerpos de seguridad","Professionals de suport a la gestio administrativa, tecnics de les forces i cossos de seguretat"
361,"Asistentes administrativos y especializados","Assistents administratius i especialitzats"
3611,"Supervisores de secretaria","Supervisors de secretaria"
3612,"Asistentes juridico-legales","Assistents juridics"
3613,"Asistentes de direccion y administrativos","Assistents de direccio i administratius"
3614,"Secretarios de centros medicos o clinicas","Secretaris de centres medics o cliniques"
362,"Agentes de aduanas, tributos y afines que trabajan en tareas propias de la Administracion Publica","Agents de duanes, tributs i similars que treballen en tasques propies de l'Administracio publica"
3621,"Profesionales de apoyo de la Administracion Publica de tributos","Professionals de suport de l'Administracio publica de tributs"
3622,"Profesionales de apoyo de la Administracion Publica de servicios sociales","Professionals de suport de l'Administracio publica de serveis socials"
3623,"Profesionales de apoyo de la Administracion Publica de servicios de expedicion de licencias","Professionals de suport de l'Administracio publica de serveis d'expedicio de llicencies"
3629,"Otros profesionales de apoyo de la Administracion Publica para tareas de inspeccion y control y tareas similares","Altres professionals de suport de l'Administracio publica per a tasques d'inspeccio i control i similars"
363,"Tecnicos de las fuerzas y cuerpos de seguridad","Tecnics de les forces i cossos de seguretat"
3631,"Tecnicos de la policia nacional, autonomica y local","Tecnics de la policia nacional, autonomica i local"
3632,"Suboficiales de la guardia civil","Suboficials de la guardia civil"
37,"Profesionales de apoyo de servicios juridicos, sociales, culturales, deportivos y afines","Professionals de suport de serveis juridics, socials, culturals, esportius  i similars"
371,"Profesionales de apoyo de servicios juridicos y sociales","Professionals de suport de serveis juridics i socials"
3711,"Profesionales de apoyo de servicios juridicos y servicios similares","Professionals de suport de serveis juridics i serveis similars"
3712,"Detectives privados","Detectius privats"
3713,"Profesionales de apoyo al trabajo y a la educacion social","Professionals de suport al treball i a l'educacio social"
3714,"Promotores de igualdad de oportunidades entre mujeres y hombres","Promotors d'igualtat d'oportunitats entre dones i homes"
3715,"Animadores comunitarios","Animadors comunitaris"
3716,"Auxiliares laicos de las religiones","Auxiliars laics de les religions"
372,"Deportistas, entrenadores, instructores de actividades deportivas; monitores de actividades recreativas","Esportistes, entrenadors, instructors d'activitats esportives; monitors d'activitats recreatives"
3721,"Atletas y deportistas","Atletes i esportistes"
3722,"Entrenadores y arbitros de actividades deportivas","Entrenadors i arbitres d'activitats esportives"
3723,"Instructores de actividades deportivas","Instructors d'activitats esportives"
3724,"Monitores de actividades recreativas y de entretenimiento","Monitors d'activitats recreatives i d'entreteniment"
373,"Tecnicos y profesionales de apoyo de actividades culturales, artisticas y culinarias","Tecnics i professionals de suport d'activitats culturals, artistiques i culinaries"
3731,"Fotografos","Fotografs"
3732,"Diseñadores y decoradores de interior","Dissenyadors i interioristes"
3733,"Tecnicos en galerias de arte, museos y bibliotecas","Tecnics en galeries d'art, museus i biblioteques"
3734,"Chefs","Caps de cuina (xefs)"
3739,"Otros tecnicos y profesionales de apoyo de actividades culturales y artisticas","Altres tecnics i professionals de suport d'activitats culturals i artistiques"
38,"Tecnicos de las tecnologias de la informacion y las comunicaciones (TIC)","Tecnics de les tecnologies de la informacio i la comunicacio (TIC)"
381,"Tecnicos en operaciones de tecnologias de la informacion y asistencia al usuario","Tecnics en operacions de tecnologies de la informacio i assistencia a l'usuari"
3811,"Tecnicos en operaciones de sistemas informaticos","Tecnics en operacions de sistemes informatics"
3812,"Tecnicos en asistencia al usuario de tecnologias de la informacion","Tecnics en assistencia a l'usuari de tecnologies de la informacio"
3813,"Tecnicos en redes","Tecnics en xarxes informatiques"
3814,"Tecnicos de la Web","Tecnics en webs"
3820,"Programadores informaticos","Programadors informatics"
383,"Tecnicos en grabacion audiovisual, radiodifusion y telecomunicaciones","Tecnics de l'enregistrament audiovisual, radiodifusio i telecomunicacions"
3831,"Tecnicos de grabacion audiovisual","Tecnics de l'enregistrament audiovisual"
3832,"Tecnicos de radiodifusion","Tecnics de radiodifusio"
3833,"Tecnicos de ingenieria de las telecomunicaciones","Tecnics en enginyeria de les telecomunicacions"
4,"Empleados contables, administrativos y otros empleados de oficina","Empleats comptables, administratius i altres empleats d'oficina"
41,"Empleados en servicios contables, financieros, y de servicios de apoyo a la produccion y al transporte","Empleats de serveis comptables, financers i serveis de suport a la produccio i al transport"
411,"Empleados contables y financieros","Empleats comptables i financers"
4111,"Empleados de contabilidad","Empleats de comptabilitat"
4112,"Empleados de control de personal y nominas","Empleats de control de personal i nomines"
4113,"Empleados de oficina de servicios estadisticos, financieros y bancarios","Empleats d'oficina de serveis estadistics, financers i bancaris"
