MANTENIMIENTO,
MAQUINA CARDIO,
MAQUINAS,
MAQUINAS GIMNASIO,
MAQUINES GIMNAS,
MARCHA,
MARCHA NORDICA,
MARXA,
MARXA ATLETICA,
MARXA NORDICA,
MARXA NORDICA,
MEDITACION,
MICROGIMNASIA,
MONTANISME,
MOTO,
MOTO AIGUA,
MOTOCICLISME,
MOTOCROSS,
MOUNTAIN BIKE,
MUNTANYA,
MUNTANYISME,
MUSCULACION,
NATACION,
NAUTICA,
NAVEGACIO VELA,
NAVEGACION,
NEDAR,
NORDIC WALKING,
PADDLE SURF,
PADEL,
PADELSURF,
PAGES,
PARAPENT,
PASEAR,
PATINAGE,
PATINATGE VELOCITAT,
PELOTA VASCA,
PESAS,
PESCA,
PESCA SUBMARINA,
PESES,
PESES GIMNAS,
PETANCA,
PILATES,
PILOXING,
PING PONG,
PIRAGUISMO,
PISCINA,
POLE SPORT,
POWER,
PREPARACION PARTO,
PUJAR ESCALES,
QI GONG,
QI GONG CHI KUNG,
RADIKAL,
RAFTING,
RAQUET BALL (SQUASH),
RAQUETES,
RAQUETES NEU,
RAQUETES NEU,
REMO,
RESISTENCIA,
RPG,
RUGBY,
RUGBY TOUCH,
RUNNING,
RUNNING CINTA,
RUTINA,
SABAM,
SARDANA CONCURS,
SENDERISME,
SENDERISMO,
SH'BAM (BAILE),
SKY,
SLOTGIM,
SNORKEL,
SNOW,
SNOWBOARD,
SOFT RACKET,
SOFT RAQUET,
SOFT RAQUET (SQUASH),
SPINING,
SPINNING,
SQUASH,
STEP,
SUBMARINISME,
SUBMARINISMO,
SURF,
TABLA,
TACFIT,
TAE KWON DO,
TAEKWONDO,
TAI CHI,
TAI TXI,
TBC,
TECNICA ,
TELES ACROBATIQUES,
TENIS MESA,
TENIS MESA,
TENIS TAULA,
TIR,
TIR AMB ARC,
TIR ARC,
TIR OLIMPIC,
TIRO ARCO,
TIRO CON ARCO,
TIRO OLIMPICO,
TIRO PRACTICO,
TONIFICACIO,
TONIFICACIO MUSCULAR,
TONIFICACION,
TRAIL RUNNING,
TRAINING,
TRASLLAT CAPSES,
TREKKING,
TRIAL,
TRIATLO,
TRX,
TXI KUN,
TXI KUNG,
ULTIMATE,
ULTRA TRAILS,
VARIOS,
VELA,
VELA CREUER,
VELA LIGERA,
VELA LLEUGERA,
VIA FERRATA,
VIAS FERRATAS,
VIES FERRATES,
VOL LLIURE,
VOLEI,
VOLEIBOL,
WATERPOLO,
WINDSURF,
WINDSURFING,
YOGA,
ZOO,
ZUMBA,
