CODI_ATC;NOMBRE
M01AE;ALOGESIA
S01GX;ALOMIDE
J01CA;ALONGAMICINA
R05CZ;ALONGAMICINA BALSA
D11AX;ALOPEXY
C09AA;ALOPRESIN
C09BA;ALOPRESIN DIU
M04AA;ALOPURINOL
A04AA;ALOXI
D11AX;ALOXIDIL
M01AB;ALOXIPRIN
S01EA;ALPHAGAN
D11AC;ALPHOSYL CHAMPU
D05AA;ALPHOSYL CREMA
N05BA;ALPRAZOLAM
M01AE;ALPROFEN
C01EA;ALPROSTADIL
A02BA;ALQUEN
D06AX;ALTARGO
C01CA;ALTELLUS
J01DB;ALTEPORINA
H02AB;ALTESONA
J01FA;ALTEZYM
M01AE;ALTIOR
N06AB;ALTISBEN
R06AE;ALTORAL
A02AD;ALUBIFAR
A02AF;ALUCOL SILICONA
A02AD;ALUFILM
A02AB;ALUGEL
A02AD;ALUGEL MAGNESIADO
A02AB;ALUGELIBYS
J07AF;ALUN DIFTER ADSOR
R03CB;ALUPENT INHAL
J07AM;ALUTOXOIDE D T P
A05BA;ALUZIME
D07AC;ALVADERMO FUERTE
R03BA;ALVESCO
D08AG;ALVOGIL
A02AD;ALYMA
J05AC;AMANTADINA LEVEL
A10BB;AMARYL
J01CA;AMBAXINO
J02AA;AMBISOME
J01AA;AMBRAMICINA
R03DB;AMBREDIN
B03BA;AMBRITAN
R05CB;AMBROLITIC
R05CB;AMBROXOL
B02AA;AMCHAFIBRIN
L02BG;AMENUR
C03EA;AMERIDE
J01GB;AMICACINA
J01MA;AMICROBIN
R01AB;AMIDOYINA
R01AA;AMIDRIN
R01AB;AMIDRIN BIO PULVERIZADOR
B05XA;AMIGEN
D06AX;AMIGERMOL
N02CC;AMIGNUL
J01GB;AMIKACINA
N05AL;AMILANDE
B05BA;AMINOACIDOS PFRIMMER STD
B05BA;AMINOFUSIN HEPAR
B05BA;AMINOMIX III
B05BA;AMINOPAED
B05BA;AMINOPLASMAL B
B05BA;AMINOSTERIL
A11JC;AMINOVEINTE
B05BA;AMINOVEN
C01BD;AMIODARONA
S01XA;AMIOPIA
N05AL;AMISULPRIDA
J01CA;AMITRON
C08CA;AMLODEQ
C08CA;AMLODIPINO
C08CA;AMLOMYLAN
C08CA;AMLOTABS
A16AX;AMMONAPS
D02AB;AMNIOLINA
R05CZ;AMO RESAN
J01CR;AMOCLAVE
J01CR;AMOCLAVE PLUS
J01CA;AMOFLAMISAN
D01AE;AMOROLFINA
J01XD;AMOTEIN
J01CA;AMOX
J01CA;AMOXAREN
J01CA;AMOXI GOBENS
R05CZ;AMOXI GOBENS MUCOLITICO
J01CA;AMOXIBACTER
R07AX;AMOXIBRON
J01CA;AMOXICILINA
J01CR;AMOXICILINA/CLAVULANICO
J01CA;AMOXICUM
J01CA;AMOXIDEL
R05CZ;AMOXIDEL BRONQUIAL
J01CA;AMOXIMEDICAL
J01CA;AMOXIPEN
R05CZ;AMOXTIOL
J01CR;AMOXYPLUS
J02AA;AMPHOCIL
R05CZ;AMPICILIBER BRONQUIAL
J01CA;AMPICILINA
J01CA;AMPILEVEL
J01CA;AMPILPRATS
J01CA;AMPIPLUS
J01CA;AMPIPULMO
J01CE;AMPIRETARD
J01CA;AMPLIBIOT
D07XB;AMPLIDERMIS
L01XX;AMSACRINA PARKE DAVIS
J07BD;AMUNOVAX
A13AA;ANABOLICO
V03AG;ANACALCIT
C04AX;ANACERVIX
J01CF;ANACLOSIL
N06AA;ANAFRANIL
A02BC;ANAGASTRA
N02BA;ANALGESICO PYRE
M02AX;ANALGESICO UT ASENS
N02BE;ANALGILASA
A03DB;ANALGILASA RECTAL
N02BE;ANALGIOL
N02BE;ANALGIPLUS
N02CA;ANALQUINA
N02BE;ANALTER
S01GA;ANALUX
C01CA;ANAPEN
M01AE;ANAPROX
D07CB;ANASILPIEL
R03AK;ANASMA
L02BG;ANASTROZOL
R05CB;ANATAC
D07AC;ANATOPIC
J07AF;ANATOXAL DI BERNA
J07AM;ANATOXAL DI TE BERNA
J07AJ;ANATOXAL DITEPER BERNA
J07AM;ANATOXAL TE BERNA
B01AB;ANBINEX
J05AB;ANCIVIN
A02AF;ANDARSIL
G03HA;ANDROCUR
G03BA;ANDRODERM
M01AX;ANDUR
M03AB;ANECTINE
N01BB;ANESTECIDAN NORADRENALIN
R02AA;ANESTEFARIN
N01BB;ANESTESIA LOCAL BRAUN CON ADRENALINA
N01BA;ANESTESIA LOCAL BRAUN SIN ADRENALINA
N01BB;ANESTESIA OFTALMICA MIRO
N01BA;ANESTESIA TOPICA BRAUN CON ADRENALINA
N01BA;ANESTESIA TOPICA BRAUN SIN ADRENALINA
N01BB;ANESTINA
N05BA;ANEUROL
V03AB;ANEXATE
A05AB;ANFOCOL
J02AA;ANFOTERICINA B
G03FA;ANGELIQ
R02AA;ANGIFONIL
R02AA;ANGILEPTOL
J01CA;ANGIMONIUM
R02AA;ANGINOCOM
R02AA;ANGINOVAG
V09GA;ANGIOCIS
C08DB;ANGIODROX
R03DA;ANGIOSEDANTE
B01AE;ANGIOX
N06AX;ANIMIC
C05AA;ANODESYN
B01AC;ANPEVAL
J04AB;ANSATIPIN
N05BE;ANSICED
N05CM;ANSIOKEY
N05BC;ANSIOWAS
N05BA;ANSIUM
C05AA;ANSO POMADA
N07BB;ANTABUS
N07BB;ANTALCONE
M01AE;ANTALGIN
N07BB;ANTAXONE
D05AD;ANTHRANOL
D10AX;ANTI ACNE LEO
A15AA;ANTI ANOREX TRIPLE SOLUCION
A02AD;ANTIACIDO ENO
A02AD;ANTIACIDO SALUD
A07FA;ANTIBIOFILUS
J01CA;ANTIBIOPEN
R05X;ANTICATARRAL EDIGEN
S02DC;ANTICERUMEN LIADE
D02AB;ANTICONGESTIVA CUSI
N07AA;ANTICUDE
N02BE;ANTIDOL
B02B;ANTIDOTO ARVIN KNOLL
M01AX;ANTIFLOXIL
V03AX;ANTIFORUNCULO MIGUEZ
D07XA;ANTIGRIETUN
C05AA;ANTIHEMORROIDAL CINFA
S01GX;ANTIHISTAMINICO LLORENS
G03AA;ANTIN
G03AA;ANTIN DIARIO
G03AA;ANTINELLE
G03AA;ANTINELLE DIARIO
A11DB;ANTINEURINA
A08AA;ANTIOBES RETARD
R01AB;ANTIRRINUM
R01AA;ANTIRRINUM NEBULIZADOR
D08AC;ANTISEPT
C05CX;ANTISTAX
J06AA;ANTITOXINA DIFTERICA BERNA
J06AA;ANTITOXINA TETAN BERNA
D11AF;ANTIVERRUGAS ISDIN
S01EB;ANTODREL
A11JC;ANTOMIOPIC
C10AB;ANTOPAL
A12AX;ANUAR
C05AD;ANUSOL POMADA
A12BA;AP INYECT SOLUCION CLORURO POTASICO
J01CA;APAMOX
A10AB;APIDRA
A10AB;APIDRA OPTISET
A10AB;APIDRA SOLOSTAR
C04AX;APIFOR
B05XA;APIR BICARBONATO SOD
B05XA;APIR CLORURADO SIMPLE
B05XA;APIR CLORURO AMONICO
B05BA;APIR GLUCOIBYS
B05XA;APIR GLUCOPOTASICO
B05BA;APIR GLUCOSADO ISOTONICO
B05BB;APIR GLUCOSALINO
B05BA;APIR LEVULOSA
B05BC;APIR MANITOL
B05BB;APIR NORMAION RESTAURA
B05BB;APIR RINGER
N02BE;APIREDOL
N02BE;APIRETAL
M01AE;APIROFENO
B05XA;APIROFLEX CLORURADO
B05BA;APIROFLEX GLUCOSADA
B05BB;APIROFLEX GLUCOSALINA
B05BB;APIROSERUM CLORURADO HIPERTONICO
B05BB;APIROSERUM CLORURADO SIMPLE
B05BB;APIROSERUM RINGER
G03XA;APL
N05BA;APLAKIL
C01BC;APOCARD
N04BC;APO-GO PEN
N04BC;APO-GO PFS
R05X;APOGRIP
N04BC;APOMORFINA ARCHIMEDES
C01CA;APRICAL DOPAMINA SIMES
C09CA;APROVEL
C10AB;APTEOR
J05AE;APTIVUS
J01CE;AQUCILINA
G02CX;AQUIFLAV
R05DA;AQUITOS
D01AE;AQUOMIN
G01AX;AQUOMIN VAGINAL
N05AL;ARACALM
M01AB;ARACENAC
A02BA;ARACIDINA
N06AX;ARAFAXINA
M01AX;ARAFISIO
R05X;ARAFRIOL
M02AA;ARAGEL
G04CB;ARAHORMO
C08CA;ARAINNO
R06AE;ARALEVO
C09CA;ARALTER
C09DA;ARALTER PLUS
B03XA;ARANESP
G03AA;ARANKA
G03AA;ARANKELLE
B01AC;ARAPAMIN
N06AB;ARAPAXEL
A02BC;ARAPRIDE
J01FA;ARATRO
L04AA;ARAVA
J01MA;ARAXACINA
A11DA;ARCALION
A03FA;ARCASIN
M01AE;ARCENTAL
M02AA;ARCENTAL TOPICA
A02BA;ARCID
N02CC;ARCOIRAN
M01AH;ARCOXIA
J01CA;ARDINE
R05CZ;ARDINE BRONQUIAL
J01CR;ARDINECLAV
A02BA;ARDORAL
M05BA;AREDIA
N06AB;AREMIS
N05AH;ARENBIL
J01DB;AREUZOLIN
B01AE;ARGANOVA
D08AL;ARGENPAL
A01AB;ARGENTOCROMO
A01AB;ARGENTOFENOL
N06DA;ARICEPT
J07BL;ARILVAX
L02BG;ARIMIDEX
B01AX;ARIXTRA
N05AX;ARKETIN
A05AX;ARKOCAPSULAS ALCACHOFA
N05CM;ARKOCAPSULAS AMAPOLA DE CALIFORNIA
D10BX;ARKOCAPSULAS BARDANA
A16AX;ARKOCAPSULAS BOLDO
G04BX;ARKOCAPSULAS BREZO
A08AX;ARKOCAPSULAS CAMILINA
A07BA;ARKOCAPSULAS CARBON VEGETAL
A05BA;ARKOCAPSULAS CARDO MARIANO
A06AB;ARKOCAPSULAS CASCARA SAGRADA
C05CX;ARKOCAPSULAS CASTAÑO DE INDIAS
C03DB;ARKOCAPSULAS COLA DE CABALLO
R07AX;ARKOCAPSULAS ECHINACEA
A13AA;ARKOCAPSULAS ELEUTEROCOCO
C01EB;ARKOCAPSULAS ESPINO ALBAR
A06AX;ARKOCAPSULAS FUCUS
A05AX;ARKOCAPSULAS FUMARIA
G04BX;ARKOCAPSULAS GAYUBA
N06DX;ARKOCAPSULAS GINKGO
A13AA;ARKOCAPSULAS GINSENG
M09AX;ARKOCAPSULAS GROSELLERO NEGRO
A13AA;ARKOCAPSULAS GUARANA
C05CX;ARKOCAPSULAS HAMAMELIS
M09AX;ARKOCAPSULAS HARPAGOFITO
A03AX;ARKOCAPSULAS HINOJO
N06BX;ARKOCAPSULAS HIPERICO
N05CM;ARKOCAPSULAS MELISA
N02CX;ARKOCAPSULAS MIGRANELA
C03BX;ARKOCAPSULAS OLIVO
C03BX;ARKOCAPSULAS ORTOSIFON
N05CM;ARKOCAPSULAS PASIFLORA
G04CX;ARKOCAPSULAS RAIZ DE ORTIGA
C05CX;ARKOCAPSULAS RUSCO
A06AB;ARKOCAPSULAS SEN
N05CM;ARKOCAPSULAS VALERIANA
C03BX;ARKOCAPSULAS VELLOSILLA
C05CX;ARKOCAPSULAS VID ROJA
R05CB;ARKOTUX
D05BX;ARMAYA
D08AJ;ARMIL CONCENTRADO
M02AC;ARNICON
L02BG;AROMASIL
A11CA;AROVIT
A11GB;AROVIT C
N04AA;ARTANE
C08CA;ARTEDIL
C04AX;ARTENSEN
C07AA;ARTEOLOL
S01ED;ARTEOPTIC
M01AX;ARTEPARON
C04AX;ARTERIOVINCA
N01BB;ARTICAINA/EPINEFRINA
M02AA;ARTICALM
S01XA;ARTIFIC
M01AH;ARTILOG
N01BB;ARTINIBSA
M01AC;ARTRAGIL
M01AB;ARTRI MEDICAL
M01AB;ARTRINOVO
M01AB;ARTRINOVO DEBIL
M01AC;ARTRIUNIC
M01BA;ARTRIVIA PREDNISOLONA
M01AX;ARTRIZAN
M01AB;ARTROCAPTIN
M02AC;ARTRODESMOL EXTRA TOPICO
J06BA;ARTROGLOBINA
M02AC;ARTROGOTA
M02AX;ARTROSAL LINIMENTO
M01AB;ARTROTEC
S01ED;ARUCOM
C10AA;ARUDEL
S01EE;ARULATAN
S01EC;ARUSOPT
B01AD;ARVIN KNOLL
J01DC;ARZIMOL
B01AC;ASASANTIN
N02BA;ASBOI
A13AA;ASCORBAMINA
N06AB;ASERIN
J01MA;ASEY
G04CB;ASFIDE
B03BA;ASIMIL B12
N02BA;ASL NORMON
R03BA;ASMABEC CLICKHALER
R03BA;ASMANEX TWISTHALER
R03AC;ASMASAL CLICKHALER
R03DB;ASMINSEDANTE
N02BE;ASPAC
R01AB;ASPAIME
R01AB;ASPAIME GOTAS
D11AX;ASPAIME TOPICO
A13AA;ASPARTONO
N05BA;ASPASERINE B6 TRANQUILIZANTE
N02BA;ASPIDOLCE
N02BA;ASPINFANTIL 125 MG
N02BA;ASPIRINA
N02BA;ASPIRINA C
N02BA;ASPIRINA COMPLEX
N02BA;ASPIRINA INFANTIL
N02BA;ASPIRINA PLUS
M02AA;ASPITOPIC
N02BA;ASPRO
N02BG;ASTEFOR
R06AX;ASTEMIZOL
R06AX;ASTEMIZOLE
A13AA;ASTENOLIT
H02AA;ASTONIN
N06AB;ASTRIN
S01GA;ASTRINGENTE LLORENS
C10BX;ASTUCOR
C08CA;ASTUDAL
C09CA;ATACAND
C09DA;ATACAND PLUS
C09DA;ATACAND PLUS FORTE
N05BB;ATARAX
C10AX;ATARONE
L04AA;ATEGE FRESENIUS
B01AB;ATENATIV
C07AB;ATENOLOL
A13AA;ATEPODIN SUBLIN
C10AX;ATERINA
C10AA;ATERKEY
L04AA;ATGAM
R01BA;ATIRAMIN
M01AB;ATISURIL
G04CB;ATIVOL
C10AA;ATORIS
N05AX;ATORNIL
C10AA;ATORVASTATINA
L01BB;ATRIANCE
A01AB;ATRIDOX
J05AR;ATRIPLA
M01AE;ATRISCAL
R03BB;ATROALDO
A03BA;ATROPINA INY
S01FA;ATROPINA LLORENS  COLIRIO
R03BB;ATROVENT
R01AX;ATROVENT NASAL
B01AB;ATRYN
A02BC;AUDAZOL
A11BA;AUDIONE
J01CR;AUGMENTINE
A02BC;AULCER
J01AA;AUREOMICINA
D06AA;AUREOMICINA TOPICO
G03FB;AUROCLIM
B02BD;AUTOPLEX T COMPLEJO COAG
N02BE;AUXIDOR
A11CA;AUXINA A MASIVA
A11JA;AUXINA A+E NORMAL
A11EA;AUXINA COMPLEJO B
A11HA;AUXINA E
A10BD;AVAGLIM
G02CX;AVALA
R01AD;AVAMYS
A10BD;AVANDAMET
A10BG;AVANDIA
L01XC;AVASTIN
G04CB;AVIDART
L03AB;AVONEX
D03AX;AVRIL
C08CA;AWAR
A02BC;AXIAGO
N06DX;AXURA
N02BA;AYDOLID
J01DF;AZACTAM
G03AC;AZALIA
S01ED;AZARGA
D04AA;AZARON
R01AC;AZELASTINA
N04BD;AZILECT
J01FA;AZITROMICINA
M02AA;AZODERMOL 5
D06BA;AZOL POLVO
R06AX;AZOMYR
B05BA;AZONUTRIL
S01EC;AZOPT
J01MA;AZUBEN
S01GA;AZULINA
S01AA;AZYDROP
M03AX;AZZALURE
A11EA;B COMPLEX FOSFORILADO
A11HA;B4 HEMOSAN
M01AE;BABYPIRIL
D02AB;BABYSITON
J01MA;BACCIDAL
J01CR;BACIMEX
D07CA;BACISPORIN
M03BX;BACLOFENO
J01EE;BACTIFOR
J01EE;BACTIFOR FORTE
R06AX;BACTIL
R06AX;BACTIL FORTE
R05CZ;BACTOSONE RETARD
D06AX;BACTROBAN
B05DB;BALANCE GLUCOSA CALCIO
G03AA;BALIANCA
G03AA;BALIANCA DIARIO
C08CA;BALMINIL
D11AX;BALNEOGEL
J01FA;BALODIN
D04AB;BALSABIT
M02AX;BALSAMO ANALGESIC KARMEL
R05X;BALSAMO KNEIPP
M02AC;BALSAMO MIDALGAN
D02AX;BALSAMO ZIMBO
R05CZ;BALSOPRIM
C09DB;BALZAK
C09DX;BALZAK PLUS
A02BC;BAMALITE
A02BC;BAMALITE FLAS
R03CC;BAMBEC
N02BE;BANDOL
D06AX;BANEDIF
P02CA;BANTENOL
S01XA;BAÑOFTAL
D11AX;BAÑOPIE
J05AF;BARACLUDE
A03DB;BARALGIN
C10AX;BARDISAN
V08BA;BARIGRAF AD
V08BA;BARILUX AD
V08BA;BARIO LLORENTE
V08BA;BARIOPACIN
C09AA;BARIPRIL
C09BA;BARIPRIL DIU
V09IX;BARNASCAN
C08CA;BARNIX
B05AA;BAS DEXTRAN SALINO
R07AX;BASECIDINA
C08CX;BATENAC
D07AC;BATMEN
D01AE;BATRAFEN
G01AX;BATRAFEN VAGINAL
J01MA;BAYCIP
S02AA;BAYCIP OTICO
J01CA;BAYPEN
C08CA;BAYPRESOL
D07XC;BAZALIN
A07CA;BEBESALES
B02BD;BEBULIN IMMUNO TIM
R03BA;BECLO ASMA
R01AD;BECLO RINO
A07EA;BECLOENEMA
R03BA;BECLOFORTE INHALADOR
R03BA;BECLOMET EASYHALER
D07AC;BECLOSONA
R01AD;BECONASE NASAL
R03BA;BECOTIDE
A11JA;BECOZYME C FORTE
N02BE;BEECHAM LEMON MIEL
R03AC;BEGLAN
A11HA;BEGLUNINA
A06AB;BEKUNIS
A06AB;BEKUNIS COMPLEX
A06AB;BEKUNIS INSTANT
D06BB;BEL LABIAL
G03AA;BELARA
G03AA;BELARA DIARIO
J01MA;BELMACINA
A06AD;BELMALAX
C10AA;BELMALIP
A02BC;BELMAZOL
C07AB;BELOKEN
C07AB;BELOKEN RETARD
C09AA;BELPREL
L01AD;BELUSTINE
G03AA;BEMASIVE
A02AD;BEMOLAN
A11HA;BENADON
R06AA;BENADREAM
R06AA;BENADRYL
J01CE;BENCILPENICILINA SODICA
J01CE;BENDRALAN
B02BD;BENEFIX
L01BB;BENEFLUR
A11DA;BENERVA
G04CA;BENESTAN
G04CA;BENESTAN RETARD
A11DB;BENEXOL B1 B6 B12
S01EE;BENGLAU
C09AA;BENIOD
L04AA;BENLYSTA
J01CE;BENORAL
M01AB;BENORILE
D10AE;BENOXYGEL
S01GX;BENTIFEN
A03AA;BENTYLOL
N03AB;BENURIDE
R05FA;BENYLIN ANTITUSIVO
R05DA;BENYLIN DESCONGESTIVO
R05FA;BENYLIN EXPECTORANTE
D10AE;BENZACNE
D08AX;BENZALC
J01CE;BENZETACIL
J01CE;BENZETACIL COMPUESTA
A11HA;BEPANTHENE
B02BD;BERIATE P
J06BA;BERIGLOBINA
J06BB;BERIGLOBINA ANTI D-P
B02AB;BERINERT P
B02BD;BERININ P
