Text,Freq,Codi,Descr_codi,Codi_3,Descr_codi_3,Gran_grup_classif,Descr_gran_grup_clasif
HEPATITIS,26,57140,Hepatitis crònica no especificada,571,Malaltia hepàtica crònica i cirrosi,09,Malalties de l’aparell digestiu
LUPUS,26,7100,Lupus eritematós sistèmic,710,Malalties difuses del teixit connectiu,13,Malalties del sistema musculoesquelètic i el teixit connectiu
LUMBALGIA,26,7242,Lumbago,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
HIPERTENSION,23,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
PROTECTOR,22,NA,NA,NA,NA,NA,NA
ARTROSI,22,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
NERVIOS,21,79921,Nerviosisme,799,Altres causes desconegudes i mal definides de morbiditat i mortalitat,16,"Símptomes, signes i afeccions mal definides"
HIPERTIROIDISMO,20,2423,Goll nodular tòxic no especificat,242,Tirotoxicosi amb goll o sense,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ENDOMETRIOSIS,20,6179,Endometriosi de localització no especificada,617,Endometriosi,10,Malalties de l’aparell genitourinari
DOLORES,19,NA,NA,NA,NA,NA,NA
OSTEOPENIA,19,7339,Altres trastorns i trastorns no especificats de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
MENOPAUSA,18,NA,NA,NA,NA,NA,NA
HIPERTIROIDISME,18,2423,Goll nodular tòxic no especificat,242,Tirotoxicosi amb goll o sense,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ESTRES,18,3089,Reacció aguda a l'estrès no especificada,308,Reacció aguda a l'estrès,05,Trastorns mentals
PROTECTOR ESTOMAGO,17,NA,NA,NA,NA,NA,NA
CROHN,16,5559,Enteritis regional de localització no especificada,555,Enteritis regional,09,Malalties de l’aparell digestiu
CIRCULACIO,15,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
BRONQUITIS,15,466,Bronquitis i bronquiolitis agudes,466,Bronquitis i bronquiolitis agudes,08,Malalties de l’aparell respiratori
GASTRITIS,15,5355,Gastritis i gastroduodenitis no especificades,535,Gastritis i duodenitis,09,Malalties de l’aparell digestiu
RESTRENYIMENT,15,5640,Restrenyiment,564,Trastorns digestius funcionals no classificats a cap altre lloc,09,Malalties de l’aparell digestiu
CELIAQUIA,15,5790,Malaltia celíaca,579,Malabsorció intestinal,09,Malalties de l’aparell digestiu
DOLOR MUSCULAR,15,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
PROTECTOR ESTOMAC,14,NA,NA,NA,NA,NA,NA
ESQUIZOFRENIA,14,295,Trastorns esquizofrènics,295,Trastorns esquizofrènics,05,Trastorns mentals
VARIUS,14,454,Venes varicoses de les extremitats inferiors,454,Venes varicoses de les extremitats inferiors,07,Malalties de l’aparell circulatori
COLON IRRITABLE,14,5641,Síndrome de l'intestí irritable,564,Trastorns digestius funcionals no classificats a cap altre lloc,09,Malalties de l’aparell digestiu
PROTECTOR ESTOMACAL,13,NA,NA,NA,NA,NA,NA
CALCIO,13,27540,Trastorn no especificat del metabolisme del calci,275,Trastorns del metabolisme mineral,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
EPILEPSIA,13,345,Epilèpsia i atacs recurrents,345,Epilèpsia i atacs recurrents,06,Malalties del sistema nerviós i els òrgans dels sentits
HIPERTENSIO,13,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
CIRCULACION,13,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
REFLUJO,13,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
VERTIGOS,11,NA,NA,NA,NA,NA,NA
VITAMINA D,11,2689,Carència de vitamina D no especificada,268,Carència de vitamina D,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
DOLOR DE ESPALDA,11,7245,Dorsàlgia no especificada,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
RELAJANTE MUSCULAR,11,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
HUESOS,11,73390,Trastorn no especificat de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
TENSION OCULAR,10,NA,NA,NA,NA,NA,NA
DEPRESION LEVE,10,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
MIGRANYA,10,346,Migranya,346,Migranya,06,Malalties del sistema nerviós i els òrgans dels sentits
PERICARDITIS,10,42090,Pericarditis aguda no especificada,420,Pericarditis aguda,07,Malalties de l’aparell circulatori
ARRITMIA,10,4279,Arítmia cardíaca no especificada,427,Arítmia cardíaca,07,Malalties de l’aparell circulatori
HERNIA DE IATO,10,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
PROSTATITIS,10,6019,Prostatitis no especificada,601,Malalties inflamatòries de la pròstata,10,Malalties de l’aparell genitourinari
TENDINITIS,10,72690,Entesitis de localització no especificada,726,Entesitis perifèriques i síndromes relacionades,13,Malalties del sistema musculoesquelètic i el teixit connectiu
OSTEOPOROSI,10,7330,Osteoporosi,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
INCONTINENCIA,10,78830,Incontinència urinària no especificada,788,Símptomes que afecten l'aparell urinari,16,"Símptomes, signes i afeccions mal definides"
ANTICONCEPTIUS,9,NA,NA,NA,NA,NA,NA
ARRITMIES,9,NA,NA,NA,NA,NA,NA
COR,9,NA,NA,NA,NA,NA,NA
ESTAT D'ANIM,9,NA,NA,NA,NA,NA,NA
PROTECTOR GASTRIC,9,NA,NA,NA,NA,NA,NA
TUBERCULOSIS,9,119,NA,119,NA,NA,NA
VITAMINAS,9,2692,Carència vitamínica no especificada,269,Altres carències nutricionals,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
GOTA,9,2749,Gota no especificada,274,Gota,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
CEFALEA,9,339,Altres síndromes amb cefalàlgia,339,Altres síndromes amb cefalàlgia,06,Malalties del sistema nerviós i els òrgans dels sentits
VARICES,9,454,Venes varicoses de les extremitats inferiors,454,Venes varicoses de les extremitats inferiors,07,Malalties de l’aparell circulatori
POLIPOS NASALES,9,4719,Pòlip nasal no especificat,471,Pòlips nasals,08,Malalties de l’aparell respiratori
NEUMONIA,9,4809,Pneumònia vírica no especificada,480,Pneumònia vírica,08,Malalties de l’aparell respiratori
ESOFAGITIS,9,53010,Esofagitis no especificada,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
HIPERPLASIA BENIGNA DE PROSTATA,9,6000,Hipertròfia (benigna) de la pròstata,600,Hiperplàsia prostàtica,10,Malalties de l’aparell genitourinari
ALOPECIA,9,70400,Alopècia no especificada,704,Malalties dels cabells i els fol·licles pilosos,12,Malalties de la pell i el teixit subcutani
DOLOR ARTICULAR,9,7194,Dolor articular,719,Altres trastorns articulars i trastorns articulars no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLOR LUMBAR,9,7242,Lumbago,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
MALESTAR GENERAL,9,7807,Malestar i fatiga,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ANTICONCEPTIVOS,8,NA,NA,NA,NA,NA,NA
DOLORS,8,NA,NA,NA,NA,NA,NA
NERVIS,8,NA,NA,NA,NA,NA,NA
PROTECCIO ESTOMAC,8,NA,NA,NA,NA,NA,NA
REFLUXE,8,NA,NA,NA,NA,NA,NA
REFREDAT,8,NA,NA,NA,NA,NA,NA
RELAJANTE,8,NA,NA,NA,NA,NA,NA
VERTIGEN,8,NA,NA,NA,NA,NA,NA
ANEMIA FERROPENICA,8,2809,Anèmia per dèficit de ferro no especificada,280,Anèmies per dèficit de ferro,04,Malalties de la sang i els òrgans hematopoètics
DISTIMIA,8,3004,Trastorn distímic,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
TENSION ARTERIAL,8,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
DISMENORREA,8,6253,Dismenorrea,625,Dolor i altres símptomes associats amb els òrgans genitals femenins,10,Malalties de l’aparell genitourinari
ARTROSIS DEGENERATIVA,8,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CIATICA,8,7243,Ciàtica,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
OSSOS,8,73390,Trastorn no especificat de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CAIGUDA CABELL,7,NA,NA,NA,NA,NA,NA
COLIC NEFRITIC,7,NA,NA,NA,NA,NA,NA
DEFICIT VITAMINA D,7,NA,NA,NA,NA,NA,NA
DOLOR CABEZA,7,NA,NA,NA,NA,NA,NA
FALTA DE VITAMINA D,7,NA,NA,NA,NA,NA,NA
GENOLL,7,NA,NA,NA,NA,NA,NA
PRESSIO OCULAR,7,NA,NA,NA,NA,NA,NA
PREVENCIO,7,NA,NA,NA,NA,NA,NA
PROTECTOR DE ESTOMAGO,7,NA,NA,NA,NA,NA,NA
MIOMA,7,2189,"Liomioma uterí, localització no especificada",218,Liomioma uterí,02,Neoplàsies
TRIGLICERIDOS,7,2721,Hipergliceridèmia pura,272,Trastorns del metabolisme dels lípids,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TRASTORN BIPOLAR,7,29680,Trastorn bipolar no especificat,296,Trastorns de l'estat d'ànim episòdics,05,Trastorns mentals
ANSIOLITIC,7,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANTIDEPRESIVO,7,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
REFLUJO GASTRICO,7,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
GASTRITIS CRONICA,7,5355,Gastritis i gastroduodenitis no especificades,535,Gastritis i duodenitis,09,Malalties de l’aparell digestiu
DOLOR MENSTRUAL,7,6253,Dismenorrea,625,Dolor i altres símptomes associats amb els òrgans genitals femenins,10,Malalties de l’aparell genitourinari
DOLOR ESPALDA,7,7245,Dorsàlgia no especificada,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
FATIGA CRONICA,7,78071,Síndrome de fatiga crònica,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
TAQUICARDIA,7,7850,Taquicàrdia no especificada,785,Símptomes que afecten l'aparell cardiovascular,16,"Símptomes, signes i afeccions mal definides"
ACIDESA,6,NA,NA,NA,NA,NA,NA
CALCULS RENALS,6,NA,NA,NA,NA,NA,NA
EMBARAS,6,NA,NA,NA,NA,NA,NA
ENCOSTIPAT,6,NA,NA,NA,NA,NA,NA
REDUCCIO ESTOMAC,6,NA,NA,NA,NA,NA,NA
REFLUXE GASTRIC,6,NA,NA,NA,NA,NA,NA
SUCRE,6,NA,NA,NA,NA,NA,NA
SUENO,6,NA,NA,NA,NA,NA,NA
RETENCION DE LIQUIDOS,6,2766,Sobrecàrrega de líquids,276,Trastorns de l'equilibri hidroelectrolític i acidobàsic,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TOC,6,3003,Trastorns obsessivocompulsius,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANTIDEPRESIU,6,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
DEPRESSIO LLEU,6,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
TDAH,6,31401,Trastorn per dèficit d'atenció amb hiperactivitat,314,Síndrome hipercinètica de la infància,05,Trastorns mentals
MENINGITIS,6,322,Meningitis de causa no especificada,322,Meningitis de causa no especificada,06,Malalties del sistema nerviós i els òrgans dels sentits
TENSION ALTA,6,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
HEMORROIDES,6,455,Hemorroides,455,Hemorroides,07,Malalties de l’aparell circulatori
RESFRIADO,6,460,Rinofaringitis aguda [refredat comú],460,Rinofaringitis aguda [refredat comú],08,Malalties de l’aparell respiratori
ACIDEZ,6,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
HERNIA D'HIATUS,6,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
HERNIA DE HIATUS,6,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
PANCREATITIS,6,5770,Pancreatitis aguda,577,Malalties de pàncrees,09,Malalties de l’aparell digestiu
LITIASIS RENAL,6,5920,Càlcul renal,592,Càlcul renal i ureteral,10,Malalties de l’aparell genitourinari
ROSACEA,6,6953,Rosàcia,695,Afeccions eritematoses,12,Malalties de la pell i el teixit subcutani
HEPATITIS A,6,701,Altres afeccions hipertròfiques i atròfiques de la pell,701,Altres afeccions hipertròfiques i atròfiques de la pell,12,Malalties de la pell i el teixit subcutani
VITILIGO,6,70901,Vitiligen,709,Altres trastorns de la pell i el teixit subcutani,12,Malalties de la pell i el teixit subcutani
VERTIGO,6,7804,Vertigen i mareig,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ANTICONCEPTIVO,5,NA,NA,NA,NA,NA,NA
ARDORES,5,NA,NA,NA,NA,NA,NA
CALCI,5,NA,NA,NA,NA,NA,NA
DEPRESION Y ANSIEDAD,5,NA,NA,NA,NA,NA,NA
DIGESTIO,5,NA,NA,NA,NA,NA,NA
DIVERTICULITIS,5,NA,NA,NA,NA,NA,NA
DOLOR ESQUENA,5,NA,NA,NA,NA,NA,NA
ESPALDA,5,NA,NA,NA,NA,NA,NA
ESTAT ANIMIC,5,NA,NA,NA,NA,NA,NA
ESTOMAG,5,NA,NA,NA,NA,NA,NA
FALTA DE FERRO,5,NA,NA,NA,NA,NA,NA
FALTA VITAMINA D,5,NA,NA,NA,NA,NA,NA
FASCITIS PLANTAR,5,NA,NA,NA,NA,NA,NA
FERRO,5,NA,NA,NA,NA,NA,NA
HERPES ZOSTER,5,NA,NA,NA,NA,NA,NA
HIERRO,5,NA,NA,NA,NA,NA,NA
HORMONAL,5,NA,NA,NA,NA,NA,NA
IMSOMNI,5,NA,NA,NA,NA,NA,NA
MENSTRUACIO,5,NA,NA,NA,NA,NA,NA
PARA EL DOLOR,5,NA,NA,NA,NA,NA,NA
PROTECTOR D'ESTOMAC,5,NA,NA,NA,NA,NA,NA
PROTECTOR GASTRICO,5,NA,NA,NA,NA,NA,NA
REGLA,5,NA,NA,NA,NA,NA,NA
TUBERCULOSI,5,NA,NA,NA,NA,NA,NA
MENOPAUSIA PRECOZ,5,25631,Menopausa prematura,256,Disfunció ovàrica,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
OBESIDAD,5,278,"Sobrepès, obesitat i altres hiperalimentacions",278,"Sobrepès, obesitat i altres hiperalimentacions",03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
CEFALEA TENSIONAL,5,30781,Cefalàlgia tensional,307,Símptomes o síndromes especials no classificats a cap altre lloc,05,Trastorns mentals
DEPRESIO LLEU,5,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
TENSIO,5,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
ESTRENYIMENT,5,5640,Restrenyiment,564,Trastorns digestius funcionals no classificats a cap altre lloc,09,Malalties de l’aparell digestiu
HIGADO GRASO,5,5719,Hepatopatia crònica no especificada sense menció d'alcohol,571,Malaltia hepàtica crònica i cirrosi,09,Malalties de l’aparell digestiu
LIQUEN PLANO,5,6970,Liquen pla,697,Liquen,12,Malalties de la pell i el teixit subcutani
HERNIA CERVICAL,5,722,Trastorns del disc intervertebral,722,Trastorns del disc intervertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DIURETICO,5,78820,Retenció urinària no especificada,788,Símptomes que afecten l'aparell urinari,16,"Símptomes, signes i afeccions mal definides"
ANTIINFLAMATORIS,4,NA,NA,NA,NA,NA,NA
ARTICULACIONES,4,NA,NA,NA,NA,NA,NA
ARTICULACIONS,4,NA,NA,NA,NA,NA,NA
BAIXA VITAMINA D,4,NA,NA,NA,NA,NA,NA
BIPOLAR,4,NA,NA,NA,NA,NA,NA
CONDROMALACIA ROTULIANA,4,NA,NA,NA,NA,NA,NA
CONTRACTURES,4,NA,NA,NA,NA,NA,NA
DEJAR DE FUMAR,4,NA,NA,NA,NA,NA,NA
DESCALCIFICACIO,4,NA,NA,NA,NA,NA,NA
DOLOR D'ESQUENA,4,NA,NA,NA,NA,NA,NA
DOLOR HUESOS,4,NA,NA,NA,NA,NA,NA
HERPES,4,NA,NA,NA,NA,NA,NA
IMSOMNIO,4,NA,NA,NA,NA,NA,NA
INFLAMACIO,4,NA,NA,NA,NA,NA,NA
LUMBAGO,4,NA,NA,NA,NA,NA,NA
MAL D'ESQUENA,4,NA,NA,NA,NA,NA,NA
MANCA VITAMINA D,4,NA,NA,NA,NA,NA,NA
MONONUCLEOSI,4,NA,NA,NA,NA,NA,NA
PROSTATITIS CRONICA,4,NA,NA,NA,NA,NA,NA
PROTECTOR ESTOMAG,4,NA,NA,NA,NA,NA,NA
RELAXANT MUSCULAR,4,NA,NA,NA,NA,NA,NA
RETENCIO LIQUIDS,4,NA,NA,NA,NA,NA,NA
SEXUAL,4,NA,NA,NA,NA,NA,NA
SINDROME DE FATIGA CRONICA,4,NA,NA,NA,NA,NA,NA
TRIGLICERIDS,4,NA,NA,NA,NA,NA,NA
ULCERA,4,NA,NA,NA,NA,NA,NA
TIROIDITIS,4,245,Tiroïditis,245,Tiroïditis,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TIROIDITIS DE HASHIMOTO,4,2452,Tiroïditis limfocítica crònica,245,Tiroïditis,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ESTADO DE ANIMO,4,2969,Altres trastorns de l'estat d'ànim episòdics i trastorns de l'estat d'ànim episòdics no especificats,296,Trastorns de l'estat d'ànim episòdics,05,Trastorns mentals
PSIQUIATRA (TOC),4,3003,Trastorns obsessivocompulsius,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANTIDEPRESSIU,4,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
DEPRESION - ANSIEDAD,4,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
MIELITIS,4,323,"Encefalitis, mielitis i encefalomielitis",323,"Encefalitis, mielitis i encefalomielitis",06,Malalties del sistema nerviós i els òrgans dels sentits
TENSIO ALTA,4,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
CORAZON,4,411,Altres formes agudes i subagudes de cardiopatia isquèmica,411,Altres formes agudes i subagudes de cardiopatia isquèmica,07,Malalties de l’aparell circulatori
CORAZON,4,4118,Altres formes agudes i subagudes de cardiopatia isquèmica,411,Altres formes agudes i subagudes de cardiopatia isquèmica,07,Malalties de l’aparell circulatori
